Trans. Date,Post Date,Description,Amount,Category
01/10/2026,01/10/2026,"AMAZON MKTPL*WO3KA3QO3 AMZN.COM/BILLWA7769MDZ1Q1N",0.50,"Merchandise"
01/14/2026,01/14/2026,"AMAZON MKTPL*3L38M8RI3 AMZN.COM/BILLWA17HKTF7KK0E",25.08,"Merchandise"
01/16/2026,01/16/2026,"INTERNET PAYMENT - THANK YOU",-151.55,"Payments and Credits"
01/17/2026,01/17/2026,"AMAZON MKTPL*K566F71A3 AMZN.COM/BILLWA1TB2Y9H092A",39.99,"Merchandise"
01/30/2026,01/30/2026,"AMAZON MKTPL*BY6511M43 AMZN.COM/BILLWAIOT0Q1JOHUP",79.11,"Merchandise"
02/02/2026,02/02/2026,"AMAZON PRIME*XA2JT1BV3 AMZN.COM/BILLWA3NDYO0PXYQB",151.34,"Merchandise"
02/02/2026,02/03/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6PMEJWS6YC1",-39.99,"Payments and Credits"
02/02/2026,02/03/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILLWA24DPK1M0A5Y",-23.99,"Payments and Credits"
02/12/2026,02/12/2026,"LUNDS&BYERLYS CHANHAS CHANHASSEN MNAPPLE PAY ENDING IN 4748",14.13,"Supermarkets"
02/13/2026,02/13/2026,"CUB 8882467822 CAAPPLE PAY ENDING IN 9748",42.37,"Supermarkets"
02/13/2026,02/13/2026,"TST* CARIBOU COFFEE - 11 CHANHASSEN MNAPPLE PAY ENDING IN 4748",4.37,"Restaurants"
02/16/2026,02/16/2026,"AMAZON MKTPL*DI65L0RF3 AMZN.COM/BILLWA2THRPJLW7KL",13.87,"Merchandise"
02/18/2026,02/18/2026,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-65.07,"Payments and Credits"
02/23/2026,02/24/2026,"AMAZON MKTPL*141K846X3 AMZN.COM/BILLWA1HSK3UQKINY",61.79,"Merchandise"
02/23/2026,02/24/2026,"AMAZON MKTPL*B90L45FY1 AMZN.COM/BILLWA6E8KDUY6O4A",42.94,"Merchandise"
02/25/2026,02/25/2026,"CTLP*CANTEEN VENDING S CHARLOTTE NCAPPLE PAY ENDING IN 4748",1.60,"Restaurants"
03/17/2026,03/17/2026,"AMAZON MKTPL*BD5SB51Y1 AMZN.COM/BILLWA8QC920GVRYV",62.94,"Merchandise"
03/18/2026,03/18/2026,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-241.21,"Payments and Credits"
04/02/2026,04/02/2026,"BUTTERBEER 6913 ORLANDO FLAPPLE PAY ENDING IN 4748",10.11,"Restaurants"
04/07/2026,04/07/2026,"AMAZON MKTPL*BC36535Q1 AMZN.COM/BILLWA1STJGVEPSP7",17.99,"Merchandise"
04/17/2026,04/17/2026,"AMAZON MKTPL*B71GD4BK0 AMZN.COM/BILLWA31I2UOLUJXH",12.73,"Merchandise"
04/17/2026,04/17/2026,"AMAZON MKTPL*BY3DK4F71 AMZN.COM/BILLWA1QTEP776NGE",16.19,"Merchandise"
04/18/2026,04/18/2026,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-169.27,"Payments and Credits"
04/24/2026,04/24/2026,"AMAZON.COM*BY2SD18B0 AMZN.COM/BILLWA7JHOLIWDUYP",523.09,"Merchandise"
04/30/2026,04/30/2026,"INTERNET PAYMENT - THANK YOU",-580.11,"Payments and Credits"
